analysisId,Eval,predictionThreshold,preferenceThreshold,positiveCount,negativeCount,trueCount,falseCount,truePositiveCount,trueNegativeCount,falsePositiveCount,falseNegativeCount,f1Score,accuracy,sensitivity,falseNegativeRate,falsePositiveRate,specificity,positivePredictiveValue,falseDiscoveryRate,negativePredictiveValue,falseOmissionRate,positiveLikelihoodRatio,negativeLikelihoodRatio,diagnosticOddsRatio
2.02E+13,tets,0,0,513294,0,182,513112,182,0,513112,0,0.000708894,0.000354573,1,0,1,0,0.000354573,0.999645427,NA,NA,1,NA,NA
2.02E+13,test,5.53E-07,0.001557408,513294,0,182,513112,182,0,513112,0,0.000708894,0.000354573,1,0,1,0,0.000354573,0.999645427,NA,NA,1,NA,NA
2.02E+13,test,1.17E-05,0.031855992,508162,5132,182,513112,181,5131,507981,1,0.000712116,0.010348845,0.994505495,0.005494505,0.990000234,0.009999766,0.000356186,0.999643814,0.999805144,0.000194856,1.004550767,0.5494634,1.828239639
2.02E+13,test,1.55E-05,0.04192539,503029,10265,182,513112,180,10263,502849,2,0.000715406,0.020345065,0.989010989,0.010989011,0.979998519,0.020001481,0.000357832,0.999642168,0.999805163,0.000194837,1.009196412,0.549409861,1.836873495
2.02E+13,test,1.86E-05,0.049898517,497896,15398,182,513112,180,15396,497716,2,0.000722778,0.030345182,0.989010989,0.010989011,0.969994855,0.030005145,0.000361521,0.999638479,0.999870113,0.000129887,1.019604366,0.366237556,2.7839973
2.02E+13,test,2.13E-05,0.056763023,492763,20531,182,513112,179,20528,492584,3,0.000726247,0.040341403,0.983516484,0.016483516,0.95999314,0.04000686,0.000363258,0.999636742,0.999853879,0.000146121,1.024503658,0.41201725,2.486555254
2.02E+13,test,2.39E-05,0.063065787,487630,25664,182,513112,177,25659,487453,5,0.000725689,0.050333727,0.972527473,0.027472527,0.949993374,0.050006626,0.00036298,0.99963702,0.999805175,0.000194825,1.023720269,0.549377743,1.863417806
2.02E+13,test,2.63E-05,0.068984899,482497,30797,182,513112,176,30791,482321,6,0.000729263,0.060329947,0.967032967,0.032967033,0.939991659,0.060008341,0.000364769,0.999635231,0.999805176,0.000194824,1.028767605,0.549374175,1.872617337
2.02E+13,test,2.86E-05,0.074553596,477364,35930,182,513112,176,35924,477188,6,0.000737102,0.070330064,0.967032967,0.032967033,0.929987995,0.070012005,0.000368691,0.999631309,0.999833009,0.000166991,1.039833818,0.470876857,2.208292469
2.02E+13,test,3.08E-05,0.07990718,472231,41063,182,513112,175,41056,472056,7,0.000740877,0.080326285,0.961538462,0.038461538,0.91998628,0.08001372,0.000370581,0.999629419,0.99982953,0.00017047,1.045166089,0.480686792,2.174318301
2.02E+13,test,3.30E-05,0.085168081,467098,46196,182,513112,174,46188,466924,8,0.000744735,0.090322505,0.956043956,0.043956044,0.909984565,0.090015435,0.000372513,0.999627487,0.999826825,0.000173175,1.050615574,0.488316741,2.151504313
2.02E+13,test,3.52E-05,0.090306428,461965,51329,182,513112,174,51321,461791,8,0.000753007,0.100322622,0.956043956,0.043956044,0.899980901,0.100019099,0.000376652,0.999623348,0.999844143,0.000155857,1.062293605,0.439476503,2.417179525
2.02E+13,test,3.73E-05,0.095082003,456832,56462,182,513112,174,56454,456658,8,0.000761465,0.110322739,0.956043956,0.043956044,0.889977237,0.110022763,0.000380884,0.999619116,0.999858312,0.000141688,1.074234167,0.399517725,2.688827306
2.02E+13,test,3.94E-05,0.099870559,451699,61595,182,513112,174,61587,451525,8,0.000770114,0.120322856,0.956043956,0.043956044,0.879973573,0.120026427,0.000385212,0.999614788,0.999870119,0.000129881,1.086446213,0.366219716,2.966651348
2.02E+13,test,4.15E-05,0.104647966,446566,66728,182,513112,174,66720,446392,8,0.000778963,0.130322973,0.956043956,0.043956044,0.869969909,0.130030091,0.00038964,0.99961036,0.99988011,0.00011989,1.098939108,0.338045168,3.250864711
2.02E+13,test,4.36E-05,0.109435287,441433,71861,182,513112,174,71853,441259,8,0.000788017,0.14032309,0.956043956,0.043956044,0.859966245,0.140033755,0.000394171,0.999605829,0.999888674,0.000111326,1.111722654,0.31389606,3.541690368
2.02E+13,test,4.56E-05,0.113922405,436301,76993,182,513112,174,76985,436127,8,0.000797282,0.150321258,0.956043956,0.043956044,0.84996453,0.15003547,0.000398807,0.999601193,0.999896094,0.000103906,1.124804533,0.292971015,3.839303116
2.02E+13,test,4.78E-05,0.118707145,431168,82126,182,513112,174,82118,430994,8,0.000806769,0.160321375,0.956043956,0.043956044,0.839960866,0.160039134,0.000403555,0.999596445,0.999902589,9.74E-05,1.138200593,0.274658097,4.14406349
2.02E+13,test,4.99E-05,0.123341606,426035,87259,182,513112,174,87251,425861,8,0.000816485,0.170321492,0.956043956,0.043956044,0.829957202,0.170042798,0.000408417,0.999591583,0.999908319,9.17E-05,1.151919585,0.258499887,4.456170558
2.02E+13,test,5.20E-05,0.127810401,420902,92392,182,513112,174,92384,420728,8,0.000826438,0.180321609,0.956043956,0.043956044,0.819953538,0.180046462,0.000413398,0.999586602,0.999913412,8.66E-05,1.165973328,0.244137228,4.775893214
2.02E+13,test,5.41E-05,0.132352029,415769,97525,182,513112,174,97517,415595,8,0.000836637,0.190321726,0.956043956,0.043956044,0.809949874,0.190050126,0.000418502,0.999581498,0.99991797,8.20E-05,1.180374226,0.231286582,5.103513637
2.02E+13,test,5.63E-05,0.136924534,410636,102658,182,513112,174,102650,410462,8,0.00084709,0.200321843,0.956043956,0.043956044,0.799946211,0.200053789,0.000423733,0.999576267,0.999922071,7.79E-05,1.195135302,0.219721126,5.439328123
2.02E+13,test,5.85E-05,0.141491819,405503,107791,182,513112,174,107783,405329,8,0.000857808,0.21032196,0.956043956,0.043956044,0.789942547,0.210057453,0.000429097,0.999570903,0.999925782,7.42E-05,1.210270241,0.209257245,5.783647975
2.02E+13,test,6.07E-05,0.146132697,400370,112924,182,513112,174,112916,400196,8,0.000868801,0.220322077,0.956043956,0.043956044,0.779938883,0.220061117,0.000434598,0.999565402,0.999929156,7.08E-05,1.225793427,0.19974471,6.136800468
2.02E+13,test,6.29E-05,0.150676004,395237,118057,182,513112,174,118049,395063,8,0.000880079,0.230322194,0.956043956,0.043956044,0.769935219,0.230064781,0.000440242,0.999559758,0.999932236,6.78E-05,1.241719995,0.191059421,6.499129886
2.02E+13,test,6.52E-05,0.155219567,390104,123190,182,513112,173,123181,389931,9,0.000886529,0.240318414,0.950549451,0.049450549,0.759933504,0.240066496,0.000443471,0.999556529,0.999926942,7.31E-05,1.250832403,0.205986884,6.072388591
2.02E+13,test,6.75E-05,0.159942243,384971,128323,182,513112,173,128314,384798,9,0.000898344,0.250318531,0.950549451,0.049450549,0.74992984,0.25007016,0.000449384,0.999550616,0.999929864,7.01E-05,1.26751784,0.197746702,6.409805202
2.02E+13,test,6.99E-05,0.164634639,379838,133456,182,513112,172,133446,379666,10,0.000905216,0.260314751,0.945054945,0.054945055,0.739928125,0.260071875,0.000452825,0.999547175,0.999925069,7.49E-05,1.277225332,0.211268731,6.045501046
2.02E+13,test,7.23E-05,0.169324691,374705,138589,182,513112,172,138579,374533,10,0.00091761,0.270314868,0.945054945,0.054945055,0.729924461,0.270075539,0.000459028,0.999540972,0.999927844,7.22E-05,1.294729791,0.203443285,6.364082204
