rowid	covariateId	covariateName	analysisId	conceptId	prev.out	prev.noout	value	value	direction
1	14	Age group: 20-24	4	0	0.004115226	0.012358883	NA	0.1	0
2	15	Age group: 25-29	4	0	0.002057613	0.082260514	-0.403759387	0.503759387	-1
3	16	Age group: 30-34	4	0	0.00617284	0.116181422	-0.600482689	0.700482689	-1
4	17	Age group: 35-39	4	0	0.012345679	0.125609031	-0.736074245	0.836074245	-1
5	18	Age group: 40-44	4	0	0.032921811	0.13969763	-0.198122653	0.298122653	-1
6	19	Age group: 45-49	4	0	0.102880658	0.166079092	0.000430426	0.100430426	1
7	20	Age group: 50-54	4	0	0.275720165	0.1788605	0.596862659	0.696862659	1
8	21	Age group: 55-59	4	0	0.339506173	0.13486499	1.245025837	1.345025837	1
9	22	Age group: 60-64	4	0	0.224279835	0.04406153	1.730997064	1.830997064	1
10	8507	Gender = MALE	2	8507	NA	NA	NA	0.1	0
11	8532	Gender = FEMALE	2	8532	0.543209877	0.536753152	NA	0.1	0
12	22350201	Condition era record observed during anytime on or prior to cohort index:    22350-Edema of larynx	201	22350	0.004115226	0.000726216	NA	0.1	0
13	22492201	Condition era record observed during anytime on or prior to cohort index:    22492-Foreign body in pharynx	201	22492	0	0.00050175	NA	0.1	0
14	23164101	Condition occurrence record observed during 365d on or prior to cohort index:  23164-Disorder of anterior pituitary	101	23164	0	0.000567769	NA	0.1	0
15	23164201	Condition era record observed during anytime on or prior to cohort index:    23164-Disorder of anterior pituitary	201	23164	0.004115226	0.001412821	NA	0.1	0
16	23220101	Condition occurrence record observed during 365d on or prior to cohort index:  23220-Chronic tonsillitis	101	23220	0.002057613	0.001135538	NA	0.1	0
17	23220201	Condition era record observed during anytime on or prior to cohort index:    23220-Chronic tonsillitis	201	23220	0.00617284	0.005545653	NA	0.1	0
18	23325101	Condition occurrence record observed during 365d on or prior to cohort index:  23325-Heartburn	101	23325	0.008230453	0.002614379	NA	0.1	0
19	23325201	Condition era record observed during anytime on or prior to cohort index:    23325-Heartburn	201	23325	0.016460905	0.009493629	NA	0.1	0
20	23653201	Condition era record observed during anytime on or prior to cohort index:    23653-Foreign body in esophagus	201	23653	0.004115226	0.001109131	NA	0.1	0
21	23731201	Condition era record observed during anytime on or prior to cohort index:    23731-Benign neoplasm of larynx	201	23731	0.004115226	0.000528157	NA	0.1	0
22	23798101	Condition occurrence record observed during 365d on or prior to cohort index:  23798-Acute laryngopharyngitis	101	23798	0.002057613	0.001280782	NA	0.1	0
23	23798201	Condition era record observed during anytime on or prior to cohort index:    23798-Acute laryngopharyngitis	201	23798	0.004115226	0.005783323	NA	0.1	0
24	24134101	Condition occurrence record observed during 365d on or prior to cohort index:  24134-Neck pain	101	24134	0.026748971	0.038713937	NA	0.1	0
25	24134201	Condition era record observed during anytime on or prior to cohort index:    24134-Neck pain	201	24134	0.135802469	0.123034264	NA	0.1	0
26	24602201	Condition era record observed during anytime on or prior to cohort index:    24602-Benign neoplasm of esophagus	201	24602	0.002057613	0.001254374	NA	0.1	0
27	24609101	Condition occurrence record observed during 365d on or prior to cohort index:  24609-Hypoglycemia	101	24609	0.002057613	0.001478841	NA	0.1	0
28	24609201	Condition era record observed during anytime on or prior to cohort index:    24609-Hypoglycemia	201	24609	0.010288066	0.007196144	NA	0.1	0
29	24660101	Condition occurrence record observed during 365d on or prior to cohort index:  24660-Acute tonsillitis	101	24660	0.002057613	0.004740213	NA	0.1	0
30	24660201	Condition era record observed during anytime on or prior to cohort index:    24660-Acute tonsillitis	201	24660	0.004115226	0.022697564	NA	0.1	0
31	24970101	Condition occurrence record observed during 365d on or prior to cohort index:  24970-Chronic laryngitis	101	24970	0.002057613	0.000594177	NA	0.1	0
32	24970201	Condition era record observed during anytime on or prior to cohort index:    24970-Chronic laryngitis	201	24970	0.00617284	0.00278603	NA	0.1	0
33	24977201	Condition era record observed during anytime on or prior to cohort index:    24977-Mucocele of salivary gland	201	24977	0.004115226	0.001201558	NA	0.1	0
34	24978201	Condition era record observed during anytime on or prior to cohort index:    24978-Chronic adenotonsillitis	201	24978	0	0.000726216	NA	0.1	0
35	25297101	Condition occurrence record observed during 365d on or prior to cohort index:  25297-Acute pharyngitis	101	25297	0.03909465	0.055852644	NA	0.1	0
